Datetime,hour,energy_consumption,hour_mean,z_score,residual,anomaly_type,is_peak_hour,is_weekend,wastage_mw,cost_usd
2002-06-26 12:00:00,12,50147.0,34588.618355893035,2.8508203132809995,10048.89052691438,Demand Surge,0,0,15558.381644106965,1867005.7972928358
2002-06-26 13:00:00,13,51677.0,34759.57114559261,2.843474995893379,10706.970990482558,Demand Surge,0,0,16917.428854407393,2030091.4625288872
2002-06-26 14:00:00,14,52637.0,34916.601683724,2.758643845982183,10798.805859626169,Demand Surge,0,0,17720.398316275998,2126447.7979531195
2002-06-26 15:00:00,15,52938.0,34940.669692967975,2.6537852374465927,10434.678205645636,Demand Surge,0,0,17997.330307032025,2159679.636843843
2002-06-26 16:00:00,16,52894.0,35065.39220864972,2.552545113015811,10138.042403614112,Demand Surge,0,0,17828.60779135028,2139432.9349620338
2002-06-26 17:00:00,17,52148.0,35596.05150214592,2.3815616960084784,9184.091991266498,Demand Surge,1,0,16551.94849785408,1986233.8197424894
2002-06-26 18:00:00,18,51017.0,36421.93149554308,2.171490882487933,8348.082825683443,Demand Surge,1,0,14595.068504456918,1751408.2205348301
2002-06-26 19:00:00,19,49876.0,36426.62991086167,2.151901135462087,8164.42810092077,Demand Surge,1,0,13449.370089138327,1613924.4106965992
2002-06-26 20:00:00,20,48326.0,36106.84021129085,2.1744830204943835,7856.8184059283885,Demand Surge,1,0,12219.159788709148,1466299.174645098
2002-06-26 21:00:00,21,47415.0,35741.057279630244,2.23068986126861,7580.774469063726,Demand Surge,1,0,11673.942720369756,1400873.1264443707
2002-06-26 22:00:00,22,46998.0,34453.149884450315,2.4696813093889367,7869.721782525397,Demand Surge,0,0,12544.850115549685,1505382.0138659622
2002-06-26 23:00:00,23,43598.0,32047.501485638826,2.4704321834583807,7617.988432229053,Demand Surge,0,0,11550.498514361174,1386059.8217233408
2002-06-27 00:00:00,0,39584.0,29523.61119366023,2.3467546774326253,7009.691745947501,Demand Surge,0,0,10060.388806339772,1207246.6567607727
2002-06-27 01:00:00,1,36339.0,27535.589963684386,2.207792531919844,6473.962661259342,Pattern Outlier,0,0,8803.410036315614,1056409.2043578736
2002-06-27 02:00:00,2,34289.0,26347.1832616606,2.088601033744312,6277.54536292296,Pattern Outlier,0,0,7941.816738339399,953018.0086007279
2002-06-27 09:00:00,9,41830.0,32628.888246946186,2.0146371032903465,6222.006925827445,Pattern Outlier,0,0,9201.111753053814,1104133.4103664577
2002-06-27 10:00:00,10,44523.0,33497.40343347639,2.3968917910465772,7177.640226242074,Demand Surge,0,0,11025.596566523607,1323071.587982833
